catchment,site,id,type,rank,total_capacity,production,liquid_capacity,cake_capacity,total_imports
BRADFORD ESHOLT/NO 2 STW,BORROWBY/STW,63,STW,1,0.092,0.046,0,0,0
YORK NABURN/STW,BOTTON/STW,64,STW,1,0.042,0.021,0,0,0
BRADFORD ESHOLT/NO 2 STW,BRADFORD ESHOLT/NO 2 STW,65,STC,4,75,25,23,31,50
YORK NABURN/STW,BRANDESBURTON/STW,66,STW,1,0.322,0.161,0,0,0
YORK NABURN/STW,BRANDSBY/STW,67,STW,1,0.002,0.001,0,0,0
KNOSTROP/STW,BRAWBY/STW,68,STW,1,0.022,0.011,0,0,0
HULL/STW,BRAYTON JUNCTION/STW,69,STW,1,0.002,0.001,0,0,0
HULL/STW,BRENTWOOD/STW,70,STW,1,0.02,0.01,0,0,0
BRIDLINGTON/STW,BRIDLE COTTAGE/STW,71,STW,1,0.02,0.01,0,0,0
BRIDLINGTON/STW,BRIDLINGTON/STW,72,STC,4,8,3.369,3.1,0,4.631
HUDDERSFIELD/NO 2 STF,HUDDERSFIELD/NO 2 STF,73,STC,4,55,20.187,9.3,19.8,34.813
BRADFORD ESHOLT/NO 2 STW,BROUGHTON/STW,74,STW,1,0.014,0.007,0,0,0
HULL/STW,BRYHERSTONES/STW,75,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,BUBWITH/STW,76,STW,1,0.138,0.069,0,0,0
BRADFORD ESHOLT/NO 2 STW,BUCKDEN/STW,77,STW,1,0.024,0.012,0,0,0
YORK NABURN/STW,BUGTHORPE/STW,78,STW,1,0.012,0.006,0,0,0
YORK NABURN/STW,BURLEY IN WHARFEDALE/STW,79,STW,1,1.722,0.861,0,0,0
BRADFORD ESHOLT/NO 2 STW,BURN/STW,80,STW,1,0.048,0.024,0,0,0
KNOSTROP/STW,BURNSALL/STW,81,STW,1,0.022,0.011,0,0,0
BRADFORD ESHOLT/NO 2 STW,BURRILL/NO 2 STW,82,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,BURTERSETT/STW,83,STW,1,0.018,0.009,0,0,0
BRADFORD ESHOLT/NO 2 STW,BURTON AGNES SOUTH/STW,84,STW,1,0.01,0.005,0,0,0
BRIDLINGTON/STW,BURTON AGNES/STW,85,STW,1,0.012,0.006,0,0,0
BRIDLINGTON/STW,BURTON FLEMING/STW,86,STW,1,0.026,0.013,0,0,0
BRIDLINGTON/STW,BURTON PIDSEA/STW,87,STW,1,0.122,0.061,0,0,0
HULL/STW,BURYTHORPE/STW,88,STW,1,0.022,0.011,0,0,0
YORK NABURN/STW,BUTTERCRAMBE/STW,89,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,CADEBY/STW,90,STW,1,0.028,0.014,0,0,0
CALDER VALE/STW,CALDER VALE/STW,91,STC,4,14.5,8.57,4.65,0,5.93
HUDDERSFIELD/NO 2 STF,CARLECOTES/STW,92,STW,1,0.008,0.004,0,0,0
KNOSTROP/STW,CARLETON/STW,93,STF/T,2,0.896,0.448,1,0,0.448
BRADFORD ESHOLT/NO 2 STW,CARLTON HUSTHWAITE/STW,94,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,CARLTON MELMERBY/STW,95,STW,1,0.042,0.021,0,0,0
BRADFORD ESHOLT/NO 2 STW,CARPERBY/STW,96,STW,1,0.036,0.018,0,0,0
BRADFORD ESHOLT/NO 2 STW,CARTHORPE/STW,97,STW,1,0.134,0.067,0,0,0
BRADFORD ESHOLT/NO 2 STW,CASTLE BOLTON/STW,98,STW,1,0.06,0.03,0,0,0
KNOSTROP/STW,CASTLEFORD/STW,99,STF/D,3,4.159463309,2.715,2,0,1.444463309
HULL/STW,CATFOSS/STW,100,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,CATTAL/STW,101,STW,1,0.01,0.005,0,0,0
BRADFORD ESHOLT/NO 2 STW,CATTERICK VILLAGE/STW,102,STW,1,0.322,0.161,0,0,0
BRADFORD ESHOLT/NO 2 STW,CATTON/STW,103,STW,1,0.01,0.005,0,0,0
LUNDWOOD/STW,CAWTHORNE/STW,104,STW,1,0.118,0.059,0,0,0
BRADFORD ESHOLT/NO 2 STW,CB TERRACE/STW,105,STW,1,0.002,0.001,0,0,0
KNOSTROP/STW,CHAPEL HADDLESEY/STW,106,STW,1,0.04,0.02,0,0,0
SANDALL/STW,CHAPEL LANE/STW,107,STW,1,0.008,0.004,0,0,0
LUNDWOOD/STW,CHEESEBOTTOM/STW,108,STW,1,1.776,0.888,0,0,0
HULL/STW,CHERRY BURTON/STW,109,STW,1,0.33,0.165,0,0,0
BLACKBURN MEADOWS/STW,CHESTERFIELD RD/STW,110,STW,1,0.004,0.002,0,0,0
CALDER VALE/STW,CHEVET TERRACE/NO 2 STW,111,STW,1,0.004,0.002,0,0,0
DEWSBURY/STW,CLAPHOUSE FOLD/STW,112,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,CLAXTON/STW,113,STW,1,0.026,0.013,0,0,0
DEWSBURY/STW,CLAYTON WEST/STW,114,STW,1,3.002,1.501,0,0,0
KNOSTROP/STW,CLAYTON/STW,115,STW,1,0.03,0.015,0,0,0
ALDWARKE/STW,CLIFTON/STW,116,STW,1,0.024,0.012,0,0,0
BRADFORD ESHOLT/NO 2 STW,COLBURN/STW,117,STF/D,3,4.931506849,1.282,4,0,3.649506849
CALDER VALE/STW,COLD HIENDLEY/STW,118,STW,1,0.792,0.396,0,0,0
BRADFORD ESHOLT/NO 2 STW,COLD KIRBY/NO 2 STW,119,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,COMMONDALE/STW,120,STW,1,0.01,0.005,0,0,0
YORK NABURN/STW,CONEYSTHORPE/STW,121,STW,1,0.032,0.016,0,0,0
BRADFORD ESHOLT/NO 2 STW,CONISTON COLD/STW,122,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,CONISTONE/STW,123,STW,1,0.014,0.007,0,0,0
BRADFORD ESHOLT/NO 2 STW,CONSTABLE BURTON/STW,124,STW,1,0.018,0.009,0,0,0
HULL/STW,CORNER COTTAGE/STW,125,STW,1,0.02,0.01,0,0,0
HULL/STW,COUNCIL HOUSES/STW,126,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,COUNTERSETT/STW,127,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,COWESBY/STW,128,STW,1,0.004,0.002,0,0,0
DEWSBURY/STW,COXLEY LANE/STW,129,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,COXWOLD/STW,130,STW,1,0.024,0.012,0,0,0
BRADFORD ESHOLT/NO 2 STW,CRAKEHALL/STW,131,STW,1,0.072,0.036,0,0,0
YORK NABURN/STW,CRAMBE/STW,132,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,CRAMBECK VILLAGE/STW,133,STW,1,0.024,0.012,0,0,0
LUNDWOOD/STW,CRANE MOOR/STW,134,STW,1,0.086,0.043,0,0,0
YORK NABURN/STW,CRAYKE/STW,135,STW,1,0.056,0.028,0,0,0
KNOSTROP/STW,CRIDLING STUBBS/STW,136,STW,1,0.022,0.011,0,0,0
CALDER VALE/STW,CROFTON/STW,137,STW,1,1.24,0.62,0,0,0
HUDDERSFIELD/NO 2 STF,CROW EDGE/STW,138,STW,1,0.04,0.02,0,0,0
KNOSTROP/STW,CUDWORTH/NO 2 STW,139,STW,1,1.27,0.635,0,0,0
BRADFORD ESHOLT/NO 2 STW,CUNDALL/STW,140,STW,1,0.016,0.008,0,0,0
BRADFORD ESHOLT/NO 2 STW,DALTON ELDMIRE/STW,141,STF/T,2,0.36,0.18,1,0,0.18
BRADFORD ESHOLT/NO 2 STW,DANBY WISKE/STW,142,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,DANBY/STW,143,STW,1,0.132,0.066,0,0,0
OLD WHITTINGTON/STW,DANESMOOR/STW,144,STW,1,0.952,0.476,0,0,0
KNOSTROP/STW,DARFIELD/NO 2 STW,145,STF/T,2,1.192,0.596,1,0,0.596
BRADFORD ESHOLT/NO 2 STW,DARLEY/STW,146,STW,1,0.276,0.138,0,0,0
KNOSTROP/STW,DARTON/STW,147,STW,1,3.332,1.666,0,0,0
CALDER VALE/STW,DAW LANE/STW,148,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,DEIGHTON GROVE/STW,149,STW,1,0.004,0.002,0,0,0
ALDWARKE/STW,DENABY/STW,150,STF/T,2,4.146,2.073,1,0,2.073
BRADFORD ESHOLT/NO 2 STW,DENHOLME/NO 2 STW,151,STW,1,0.46,0.23,0,0,0
DEWSBURY/STW,DEWSBURY/STW,152,STC,4,30,22.653,2.48,0,7.347
YORK NABURN/STW,DISHFORTH/STW,153,STW,1,0.088,0.044,0,0,0
BRADFORD ESHOLT/NO 2 STW,DOWLEY GAP/STW,154,STW,1,5.138,2.569,0,0,0
BRADFORD ESHOLT/NO 2 STW,DOWNHOLME/STW,155,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,DRAUGHTON/STW,156,STW,1,0.048,0.024,0,0,0
KNOSTROP/STW,DRAX/STW,157,STW,1,0.048,0.024,0,0,0
HULL/STW,DRIFFIELD/STW,158,STF/T,2,2.032,1.016,1,0,1.016
OLD WHITTINGTON/STW,DRONFIELD/STW,159,STW,1,3.62,1.81,0,0,0
YORK NABURN/STW,DUGGLEBY/STW,160,STW,1,0.024,0.012,0,0,0
HUDDERSFIELD/NO 2 STF,DUNFORD BRIDGE/STW,161,STW,1,0.006,0.003,0,0,0
BLACKBURN MEADOWS/STW,DUNGWORTH/STW,162,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,DUNKESWICK/STW,163,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,EARBY/STW,164,STW,1,1.028,0.514,0,0,0
HULL/STW,EASINGTON/STW,165,STW,1,0.108,0.054,0,0,0
YORK NABURN/STW,EASINGWOLD/STW,166,STW,1,0.79,0.395,0,0,0
YORK NABURN/STW,EAST BARNBY/STW,167,STW,1,0.01,0.005,0,0,0
BRADFORD ESHOLT/NO 2 STW,EAST CARLTON/STW,168,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,EAST COWTON/STW,169,STW,1,0.068,0.034,0,0,0
BRADFORD ESHOLT/NO 2 STW,EAST HAUXWELL/STW,170,STW,1,0.006,0.003,0,0,0
HULL/STW,EAST HESLERTON/STW,171,STW,1,0.046,0.023,0,0,0
BRADFORD ESHOLT/NO 2 STW,EAST MARTON/STW,172,STW,1,0.03,0.015,0,0,0
HUDDERSFIELD/NO 2 STF,EASTWOOD/STW,173,STW,1,1.994,0.997,0,0,0
KNOSTROP/STW,ECCUP/STW,174,STW,1,0.002,0.001,0,0,0
KNOSTROP/STW,ECCUP/WTW STW,175,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,EGGBOROUGH/STW,176,STW,1,0.77,0.385,0,0,0
YORK NABURN/STW,EGTON BRIDGE/STW,177,STW,1,0.048,0.024,0,0,0
BRADFORD ESHOLT/NO 2 STW,ELLERBECK/STW,178,STW,1,0.002,0.001,0,0,0
HULL/STW,ELLERKER/NO 2 STW,179,STW,1,1.422,0.711,0,0,0
YORK NABURN/STW,ELLERTON/STW,180,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,ELLINGSTRING/STW,181,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,ELVINGTON/STW,182,STW,1,0.172,0.086,0,0,0
YORK NABURN/STW,ELVINGTON/WTW STW,183,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,EMBSAY/STW,184,STW,1,1.43,0.715,0,0,0
YORK NABURN/STW,ESCRICK/STW,185,STW,1,0.236,0.118,0,0,0
BLACKBURN MEADOWS/STW,EWDEN VILLAGE/STW,186,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,FARLINGTON/STW,187,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,FEARBY/STW,188,STW,1,0.026,0.013,0,0,0
BRADFORD ESHOLT/NO 2 STW,FELIXKIRK PIPER HILL/STW,189,STW,1,0.002,0.001,0,0,0
HULL/STW,FILEY/STW,190,STF/T,2,1.484,0.742,1,0,0.742
BRADFORD ESHOLT/NO 2 STW,FINGHALL/STW,191,STW,1,0.024,0.012,0,0,0
YORK NABURN/STW,FIRBY/STW,192,STW,1,0.004,0.002,0,0,0
BRIDLINGTON/STW,FLAMBOROUGH VILLAGE/STW,193,STF/T,2,0.706,0.353,1,0,0.353
BRADFORD ESHOLT/NO 2 STW,FLAPPIT SPRING/STW,194,STW,1,0.004,0.002,0,0,0
YORK NABURN/STW,FLASK INN/STW,195,STW,1,0.042,0.021,0,0,0
BRADFORD ESHOLT/NO 2 STW,FLAWITH/STW,196,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,FLAXTON/STW,197,STW,1,0.034,0.017,0,0,0
KNOSTROP/STW,FOGGATHORPE/STW,198,STW,1,0.026,0.013,0,0,0
HULL/STW,FOLKTON/STW,199,STW,1,0.396,0.198,0,0,0
HULL/STW,FOSTON ON THE WOLDS/STW,200,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,FOSTON/STW,201,STW,1,0.05,0.025,0,0,0
BRADFORD ESHOLT/NO 2 STW,FOULRIDGE/STW,202,STW,1,0.166,0.083,0,0,0
HULL/STW,FOXHOLES/STW,203,STW,1,0.032,0.016,0,0,0
YORK NABURN/STW,FRIDAYTHORPE/STW,204,STW,1,0.044,0.022,0,0,0
YORK NABURN/STW,GANTON/STW,205,STW,1,0.022,0.011,0,0,0
DEWSBURY/STW,GARFORTH/STW,206,STW,1,6.13,3.065,0,0,0
BRADFORD ESHOLT/NO 2 STW,GARGRAVE/STW,207,STW,1,0.294,0.147,0,0,0
HULL/STW,GARTON WOLDS/STW,208,STW,1,0.036,0.018,0,0,0
BRADFORD ESHOLT/NO 2 STW,GAYLES/STW,209,STW,1,0.028,0.014,0,0,0
HUDDERSFIELD/NO 2 STF,GIBB LANE/STW,210,STW,1,0.004,0.002,0,0,0
HULL/STW,GILBERDYKE/STW,211,STW,1,0.442,0.221,0,0,0
YORK NABURN/STW,GILLAMOOR/STW,212,STW,1,0.032,0.016,0,0,0
YORK NABURN/STW,GILLING EAST/STW,213,STW,1,0.036,0.018,0,0,0
BRADFORD ESHOLT/NO 2 STW,GILLING WEST/STW,214,STW,1,0.052,0.026,0,0,0
YORK NABURN/STW,GLAISDALE/STW,215,STW,1,0.06,0.03,0,0,0
YORK NABURN/STW,GOATHLAND/NO 3 STW,216,STW,1,0.054,0.027,0,0,0
DEWSBURY/STW,GOOLE RAWCLIFFE/STW,217,STW,1,0.256,0.128,0,0,0
KNOSTROP/STW,GOOLE/STW,218,STF/D,3,2.78500667,1.471,0,0,0
DEWSBURY/STW,GRANGE LANE/STW,219,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,GRANTLEY/STW,220,STW,1,0.014,0.007,0,0,0
BRADFORD ESHOLT/NO 2 STW,GRASSINGTON/STW,221,STW,1,0.284,0.142,0,0,0
YORK NABURN/STW,GREAT BARUGH/STW,222,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,GREAT EDSTONE/STW,223,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,GREAT HABTON/STW,224,STW,1,0.026,0.013,0,0,0
HULL/STW,GREAT HATFIELD/NO 2 STW,225,STW,1,0.018,0.009,0,0,0
BRADFORD ESHOLT/NO 2 STW,GREAT LANGTON/STW,226,STW,1,0.012,0.006,0,0,0
BRADFORD ESHOLT/NO 2 STW,GREAT SMEATON/NO 1 STW,227,STW,1,0.03,0.015,0,0,0
BRADFORD ESHOLT/NO 2 STW,GREAT SMEATON/NO 2 STW,228,STW,1,0.002,0.001,0,0,0
LUNDWOOD/STW,GRIMETHORPE/STW,229,STW,1,1.826,0.913,0,0,0
HULL/STW,GRIMSTON/STW,230,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,GRIMWITH/STW,231,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,GRINTON EAST/STW,232,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,GRINTON WEST/STW,233,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,GROSMONT/STW,234,STW,1,0.044,0.022,0,0,0
BRADFORD ESHOLT/NO 2 STW,GUNNERSIDE/NO 2 STW,235,STW,1,0.028,0.014,0,0,0
BRADFORD ESHOLT/NO 2 STW,HACKFORTH/NO 2 STW,236,STW,1,0.012,0.006,0,0,0
LUNDWOOD/STW,HAIGH LANE/STW,237,STW,1,0.004,0.002,0,0,0
DEWSBURY/STW,HAIGH/STW,238,STW,1,0.022,0.011,0,0,0
BRIDLINGTON/STW,HAISTHORPE/STW,239,STW,1,0.012,0.006,0,0,0
HUDDERSFIELD/NO 2 STF,HALIFAX COPLEY/STW,240,STF/D,3,27.84588149,13.33,0,0,0
BRADFORD ESHOLT/NO 2 STW,HALLAS BRIDGE/STW,241,STW,1,0.004,0.002,0,0,0
KNOSTROP/STW,HAMBLETON/STW,242,STW,1,0.644,0.322,0,0,0
HUDDERSFIELD/NO 2 STF,HARDEN/STW,243,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,HARDRAW/STW,244,STW,1,0.008,0.004,0,0,0
YORK NABURN/STW,HARDSTRUGGLE COTTAGE/STW,245,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,HARECROFT/STW,246,STW,1,0.016,0.008,0,0,0
KNOSTROP/STW,HARLEY/STW,247,STW,1,0.09,0.045,0,0,0
ALDWARKE/STW,HARLINGTON/STW,248,STW,1,0.304,0.152,0,0,0
YORK NABURN/STW,HAROME/STW,249,STW,1,0.224,0.112,0,0,0
BRADFORD ESHOLT/NO 2 STW,HARROGATE NORTH/STW,250,STF/T,2,7.036,3.518,1,0,3.518
YORK NABURN/STW,HARROGATE SOUTH/STW,251,STF/D,3,4.510997752,2.537,0,0,0
SANDALL/STW,HARTON/STW,252,STW,1,0.012,0.006,0,0,0
YORK NABURN/STW,HAWES/STW,253,STW,1,0.188,0.094,0,0,0
YORK NABURN/STW,HAXBY WALBUTTS/STW,254,STW,1,2.884,1.442,0,0,0
HULL/STW,HAYBURN WYKE HOTEL/STW,255,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,HAYTON/STW,256,STW,1,0.008,0.004,0,0,0
BRADFORD ESHOLT/NO 2 STW,HEALAUGH REETH/STW,257,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,HEALAUGH TADCASTER/STW,258,STW,1,0.014,0.007,0,0,0
BRADFORD ESHOLT/NO 2 STW,HEBDEN/STW,259,STW,1,0.032,0.016,0,0,0
HULL/STW,HEDON/STW,260,STW,1,0.784,0.392,0,0,0
YORK NABURN/STW,HELMSLEY/STW,261,STW,1,0.256,0.128,0,0,0
YORK NABURN/STW,HELPERBY/STW,262,STW,1,0.096,0.048,0,0,0
KNOSTROP/STW,HEMINGBROUGH/NO 2 STW,263,STW,1,0.288,0.144,0,0,0
BRADFORD ESHOLT/NO 2 STW,HETTON/STW,264,STW,1,0.052,0.026,0,0,0
BLACKBURN MEADOWS/STW,HIGH BRADFIELD/STW,265,STW,1,0.006,0.003,0,0,0
LUNDWOOD/STW,HIGH HOYLAND/STW,266,STW,1,0.008,0.004,0,0,0
KNOSTROP/STW,HIGH MELTON/STW,267,STW,1,0.014,0.007,0,0,0
HUDDERSFIELD/NO 2 STF,HIGH ROYD/NO 2 STW,268,STW,1,1.478,0.739,0,0,0
YORK NABURN/STW,HILL VIEW/STW,269,STW,1,0.02,0.01,0,0,0
KNOSTROP/STW,HILLAM/STW,270,STW,1,0.268,0.134,0,0,0
YORK NABURN/STW,HINDERWELL/STW,271,STW,1,0.298,0.149,0,0,0
BRADFORD ESHOLT/NO 2 STW,HOLLINGWELL HILL/STW,272,STW,1,0.006,0.003,0,0,0
HULL/STW,HOLLYM/STW,273,STW,1,0.012,0.006,0,0,0
LUNDWOOD/STW,HOLME HOUSE/STW,274,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,HOLME ON SPALDING MR/STW,275,STW,1,0.424,0.212,0,0,0
HULL/STW,HOLME ON THE WOLDS/STW,276,STW,1,0.004,0.002,0,0,0
OLD WHITTINGTON/STW,HOLMESFIELD/STW,277,STW,1,0.064,0.032,0,0,0
HULL/STW,HOLMPTON/STW,278,STW,1,0.01,0.005,0,0,0
YORK NABURN/STW,HOLTBY/STW,279,STW,1,0.02,0.01,0,0,0
LUNDWOOD/STW,HOOD GREEN/STW,280,STW,1,0.03,0.015,0,0,0
SANDALL/STW,HOOK/STW,281,STW,1,0.128,0.064,0,0,0
KNOSTROP/STW,HOOTON PAGNELL/STW,282,STW,1,0.028,0.014,0,0,0
ALDWARKE/STW,HOOTON ROBERTS/STW,283,STW,1,0.018,0.009,0,0,0
DEWSBURY/STW,HORBURY/STW,284,STW,1,2.204,1.102,0,0,0
BRADFORD ESHOLT/NO 2 STW,HORNBY/STW,285,STW,1,0.006,0.003,0,0,0
HULL/STW,HORNSEA/STW,286,STF/T,2,1.4,0.7,1,0,0.7
CALDER VALE/STW,HORSE + GROOM/STW,287,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,HORSEHOUSE/STW,288,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,HOVINGHAM/STW,289,STW,1,0.056,0.028,0,0,0
HULL/STW,HOWDEN/STW,290,STW,1,0.756,0.378,0,0,0
BRADFORD ESHOLT/NO 2 STW,HOWE/STW,291,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,HOWSHAM/STW,292,STW,1,0.004,0.002,0,0,0
LUNDWOOD/STW,HOYLANDSWAINE/STW,293,STW,1,0.138,0.069,0,0,0
BRADFORD ESHOLT/NO 2 STW,HUDSWELL/STW,294,STW,1,0.038,0.019,0,0,0
HULL/STW,HUGGATE/STW,295,STW,1,0.03,0.015,0,0,0
HULL/STW,HULL/STW,296,STC,4,64.8,33.736,12.4,19.8,31.064
HULL/STW,HUMBLETON/STW,297,STW,1,0.01,0.005,0,0,0
OLD WHITTINGTON/STW,HUNDALL/STW,298,STW,1,0.004,0.002,0,0,0
HULL/STW,HUNMANBY/STW,299,STW,1,0.386,0.193,0,0,0
YORK NABURN/STW,HUNSINGORE/STW,300,STW,1,0.032,0.016,0,0,0
BRADFORD ESHOLT/NO 2 STW,HUNTON/STW,301,STW,1,0.054,0.027,0,0,0
YORK NABURN/STW,HUSTHWAITE/STW,302,STW,1,0.05,0.025,0,0,0
YORK NABURN/STW,HUTTON LE HOLE/STW,303,STW,1,0.022,0.011,0,0,0
YORK NABURN/STW,HUTTONS AMBO/STW,304,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,ILKLEY/STW,305,STW,1,2.142,1.071,0,0,0
LUNDWOOD/STW,INGBIRCHWORTH/BIO STW,306,STW,1,0.002,0.001,0,0,0
DEWSBURY/STW,INGBIRCHWORTH/NO 2 STW,307,STW,1,1.674,0.837,0,0,0
BRADFORD ESHOLT/NO 2 STW,INGLEBY ARNCLIFFE/STW,308,STW,1,0.034,0.017,0,0,0
BRADFORD ESHOLT/NO 2 STW,KEARBY/STW,309,STW,1,0.132,0.066,0,0,0
BRADFORD ESHOLT/NO 2 STW,KEIGHLEY MARLEY/STW,310,STW,1,15.174,7.587,0,0,0
BRADFORD ESHOLT/NO 2 STW,KELD/STW,311,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,KELDSYKE/STW,312,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,KELFIELD/STW,313,STW,1,0.238,0.119,0,0,0
BRADFORD ESHOLT/NO 2 STW,KETTLEWELL/STW,314,STW,1,0.058,0.029,0,0,0
YORK NABURN/STW,KEXBY/STW,315,STW,1,0.008,0.004,0,0,0
HULL/STW,KEYINGHAM/STW,316,STW,1,0.322,0.161,0,0,0
BRADFORD ESHOLT/NO 2 STW,KILBURN/STW,317,STW,1,0.028,0.014,0,0,0
HULL/STW,KILHAM/STW,318,STW,1,0.138,0.069,0,0,0
BRADFORD ESHOLT/NO 2 STW,KILLINGHALL/STW,319,STW,1,0.474,0.237,0,0,0
CALDER VALE/STW,KINGS ARMS/STW,320,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,KIRBY KNOWLE/STW,321,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,KIRBY MISPERTON/STW,322,STW,1,0.026,0.013,0,0,0
BRADFORD ESHOLT/NO 2 STW,KIRBY SIGSTON/STW,323,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,KIRK HAMMERTON/STW,324,STW,1,0.254,0.127,0,0,0
KNOSTROP/STW,KIRK SMEATON/STW,325,STW,1,0.104,0.052,0,0,0
BRADFORD ESHOLT/NO 2 STW,KIRKBY FLEETHAM/STW,326,STW,1,0.056,0.028,0,0,0
BRADFORD ESHOLT/NO 2 STW,KIRKBY MALHAM/STW,327,STW,1,0.012,0.006,0,0,0
BRADFORD ESHOLT/NO 2 STW,KIRKBY MALZEARD/STW,328,STW,1,0.274,0.137,0,0,0
YORK NABURN/STW,KIRKBYMOORSIDE/STW,329,STW,1,0.404,0.202,0,0,0
BRADFORD ESHOLT/NO 2 STW,KIRKLINGTON/STW,330,STW,1,0.03,0.015,0,0,0
LUNDWOOD/STW,KNABBS LANE/STW,331,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,KNARESBOROUGH/STW,332,STW,1,2.248,1.124,0,0,0
KNOSTROP/STW,KNOSTROP/STW,333,STC,4,115,54.334,21.7,44,60.666
BRADFORD ESHOLT/NO 2 STW,LANE HEAD/STW,334,STW,1,0.004,0.002,0,0,0
LUNDWOOD/STW,LANGSETT/STW,335,STW,1,0.008,0.004,0,0,0
BRADFORD ESHOLT/NO 2 STW,LANGTHORNE/NO 2 STW,336,STW,1,0.002,0.001,0,0,0
BRADFORD ESHOLT/NO 2 STW,LANGTHWAITE/STW,337,STW,1,0.014,0.007,0,0,0
HULL/STW,LANGTOFT/STW,338,STW,1,0.068,0.034,0,0,0
YORK NABURN/STW,LASTINGHAM/STW,339,STW,1,0.022,0.011,0,0,0
KNOSTROP/STW,LEA BROOK/STW,340,STW,1,0.01,0.005,0,0,0
YORK NABURN/STW,LEALHOLM/STW,341,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,LEAVENING/STW,342,STW,1,0.044,0.022,0,0,0
HULL/STW,LECONFIELD/STW,343,STW,1,0.264,0.132,0,0,0
HUDDERSFIELD/NO 2 STF,LEE LANE/STW,344,STW,1,0.012,0.006,0,0,0
BRADFORD ESHOLT/NO 2 STW,LEEMING BAR/STW,345,STW,1,1.398,0.699,0,0,0
BRADFORD ESHOLT/NO 2 STW,LEIGHTON COTTAGES/STW,346,STW,1,0.02,0.01,0,0,0
HULL/STW,LELLEY/STW,347,STW,1,0.006,0.003,0,0,0
KNOSTROP/STW,LEMONROYD/STW,348,STF/T,2,4.758,2.379,1,0,2.379
HULL/STW,LEVEN/STW,349,STW,1,0.33,0.165,0,0,0
BRADFORD ESHOLT/NO 2 STW,LEYBURN/STW,350,STW,1,0.5,0.25,0,0,0
SANDALL/STW,LINDHOLME/STW,351,STW,1,0.384,0.192,0,0,0
BRADFORD ESHOLT/NO 2 STW,LINDLEY LODGE/STW,352,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,LINTON ON OUSE/STW,353,STW,1,0.314,0.157,0,0,0
