catchment,site,id,type,rank,total_capacity,production,liquid_capacity,cake_capacity,total_imports
KNOSTROP/STW,SELBY BARLOW/NO 2 STW,485,STW,1,0.086,0.043,0,0,0
YORK NABURN/STW,SELBY/STW,486,STF/D,3,3.122994129,1.488,0,0,0
YORK NABURN/STW,SETTRINGTON/STW,487,STW,1,0.07,0.035,0,0,0
BRADFORD ESHOLT/NO 2 STW,SHAW MILLS/STW,488,STW,1,0.082,0.041,0,0,0
BRADFORD ESHOLT/NO 2 STW,SHAY GRANGE/STW,489,STW,1,0.002,0.001,0,0,0
KNOSTROP/STW,SHERBURN IN ELMET/STW,490,STW,1,2.044,1.022,0,0,0
YORK NABURN/STW,SHERBURN/STW,491,STW,1,0.112,0.056,0,0,0
YORK NABURN/STW,SHERIFF HUTTON/STW,492,STW,1,0.12,0.06,0,0,0
YORK NABURN/STW,SHIPTON/NO 2 STW,493,STW,1,0.118,0.059,0,0,0
LUNDWOOD/STW,SILKSTONE/STW,494,STW,1,0.454,0.227,0,0,0
BRADFORD ESHOLT/NO 2 STW,SINDERBY/STW,495,STW,1,0.074,0.037,0,0,0
YORK NABURN/STW,SINNINGTON/STW,496,STW,1,0.044,0.022,0,0,0
HULL/STW,SKEFFLING/STW,497,STW,1,0.01,0.005,0,0,0
BRADFORD ESHOLT/NO 2 STW,SKELTON/STW,498,STW,1,0.042,0.021,0,0,0
HULL/STW,SKIDBY/STW,499,STW,1,0.288,0.144,0,0,0
BRIDLINGTON/STW,SKIPSEA/STW,500,STW,1,0.466,0.233,0,0,0
BRADFORD ESHOLT/NO 2 STW,SKIPTON ON SWALE/STW,501,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,SKIPTON/STW,502,STF/D,3,3.481013009,1.522,2,0,1.959013009
HULL/STW,SLEDMERE/STW,503,STW,1,0.024,0.012,0,0,0
YORK NABURN/STW,SLINGSBY/NO 2 STW,504,STW,1,0.09,0.045,0,0,0
KNOSTROP/STW,SNAITH/STW,505,STW,1,1.32,0.66,0,0,0
BRADFORD ESHOLT/NO 2 STW,SNAPE/STW,506,STW,1,0.042,0.021,0,0,0
HULL/STW,SOUTH DALTON/STW,507,STW,1,0.016,0.008,0,0,0
KNOSTROP/STW,SOUTH ELMSALL/STW,508,STF/D,3,4.211782939,2.323,0,0,0
BRADFORD ESHOLT/NO 2 STW,SPENNITHORNE/STW,509,STW,1,0.026,0.013,0,0,0
YORK NABURN/STW,SPROXTON/STW,510,STW,1,0.014,0.007,0,0,0
OLD WHITTINGTON/STW,STAINSBY/STW,511,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,STAMFORD BRIDGE/NO 2 STW,512,STW,1,0.732,0.366,0,0,0
KNOSTROP/STW,STANLEY/STW,513,STW,1,2.734,1.367,0,0,0
KNOSTROP/STW,STAPLETON PARK/STW,514,STW,1,0.24,0.12,0,0,0
BRADFORD ESHOLT/NO 2 STW,STARBOTTON/STW,515,STW,1,0.016,0.008,0,0,0
BLACKBURN MEADOWS/STW,STAVE LOW COMMON/STW,516,STW,1,0.008,0.004,0,0,0
BLACKBURN MEADOWS/STW,STAVELEY/STW,517,STC,4,2,1.963,0,0,0
YORK NABURN/STW,STEARSBY/STW,518,STW,1,0.002,0.001,0,0,0
YORK NABURN/STW,STILLINGTON/STW,519,STW,1,0.102,0.051,0,0,0
BRADFORD ESHOLT/NO 2 STW,STIRTON/STW,520,STW,1,0.012,0.006,0,0,0
BLACKBURN MEADOWS/STW,STOCKLEY/STW,521,STW,1,0.372,0.186,0,0,0
LUNDWOOD/STW,STOCKSBRIDGE/STW,522,STW,1,1.916,0.958,0,0,0
DEWSBURY/STW,STOCKSMOOR ROAD/NO 2 STW,523,STW,1,0.01,0.005,0,0,0
HUDDERSFIELD/NO 2 STF,STOODLEY GLEN/STW,524,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,STUDLEY ROGER/STW,525,STW,1,0.016,0.008,0,0,0
HULL/STW,SUNNYBANK/STW,526,STW,1,0.02,0.01,0,0,0
YORK NABURN/STW,SUTTON ON THE FOREST/STW,527,STW,1,0.226,0.113,0,0,0
BRADFORD ESHOLT/NO 2 STW,SUTTON WHITESTONECLF/STW,528,STW,1,0.046,0.023,0,0,0
KNOSTROP/STW,SUTTON/STW,529,STF/D,3,9.785319221,3.932,2,0,5.853319221
HULL/STW,SWINE/STW,530,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,SWINITHWAITE/STW,531,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,SWINSTY CAR PARK/STW,532,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,SWINTON MASHAM/NO 2 STW,533,STW,1,0.006,0.003,0,0,0
YORK NABURN/STW,TADCASTER/DOMESTIC STW,534,STW,1,1.364,0.682,0,0,0
KNOSTROP/STW,TADCASTER/TRADE STW,535,STF/T,2,1.714,0.857,1,0,0.857
KNOSTROP/STW,TANKERSLEY/STW,536,STW,1,0.22,0.11,0,0,0
OLD WHITTINGTON/STW,TEMPLE NORMANTON/STW,537,STW,1,0.046,0.023,0,0,0
YORK NABURN/STW,TERRINGTON/STW,538,STW,1,0.07,0.035,0,0,0
HULL/STW,THE COTT RUSTON PARVA/STW,539,STW,1,0.02,0.01,0,0,0
HULL/STW,THE LAURELS/STW,540,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,THIMBLEBY/STW,541,STW,1,0.006,0.003,0,0,0
BRADFORD ESHOLT/NO 2 STW,THIRKLEBY/STW,542,STW,1,0.01,0.005,0,0,0
BRADFORD ESHOLT/NO 2 STW,THIRN/STW,543,STW,1,0.006,0.003,0,0,0
